Identifiant,"Date (AAAA/MM/JJ)",Heure,Nom,"Région épicentrale",Choc,"X RGF93/L93","Y RGF93/L93","Latitude en WGS 84","Longitude en WGS 84","Intensité épicentrale","Qualité intensité épicentrale"
880051,1984/12/25,"17 h 34 min 53 sec","HAUTES-VOSGES (ELOYES-REMIREMONT)",VOSGES,PRECURSEUR,966899.73,6778236.91,48.05,6.58,,"INFORMATION ISOLÉE"
880052,1984/12/26,"6 h 43 min 27 sec","HAUTES-VOSGES (ELOYES-REMIREMONT)",VOSGES,PRECURSEUR,968055.88,6780143.59,48.07,6.60,,
880053,1984/12/29,"11 h 2 min 37 sec","HAUTES-VOSGES (ELOYES-REMIREMONT)",VOSGES,,967971.47,6781993.72,48.08,6.60,6,SURE
880054,1984/12/29,"11 h 3 min 14 sec","HAUTES-VOSGES (ELOYES-REMIREMONT)",VOSGES,REPLIQUE,968055.88,6780143.59,48.07,6.60,,
880055,1984/12/29,"14 h 2 min 6 sec","HAUTES-VOSGES (ELOYES-REMIREMONT)",VOSGES,REPLIQUE,968055.88,6780143.59,48.07,6.60,,
880056,1984/12/29,"14 h 54 min 14 sec","HAUTES-VOSGES (ELOYES-REMIREMONT)",VOSGES,REPLIQUE,968055.88,6780143.59,48.07,6.60,,
880057,1984/12/29,"15 h 50 min 29 sec","HAUTES-VOSGES (ELOYES-REMIREMONT)",VOSGES,REPLIQUE,968055.88,6780143.59,48.07,6.60,,
880058,1984/12/31,"16 h 44 min 53 sec","HAUTES-VOSGES (ELOYES-REMIREMONT)",VOSGES,REPLIQUE,968055.88,6780143.59,48.07,6.60,,
880059,1984/12/31,"23 h 26 min 53 sec","HAUTES-VOSGES (ELOYES-REMIREMONT)",VOSGES,REPLIQUE,968055.88,6780143.59,48.07,6.60,5,"ASSEZ SURE"
880060,1985/01/01,"22 h 42 min 20 sec","HAUTES-VOSGES (ELOYES-REMIREMONT)",VOSGES,REPLIQUE,966899.73,6778236.91,48.05,6.58,,"INFORMATION ISOLÉE"
880061,1985/01/02,"18 h 39 min 27 sec","HAUTES-VOSGES (ELOYES-REMIREMONT)",VOSGES,REPLIQUE,968055.88,6780143.59,48.07,6.60,,
730198,1985/01/04,"23 h 59 min 56 sec","VANOISE (ST-MARTIN-DE-BELLEVILLE)","ALPES SAVOYARDES",,979367.55,6474898.66,45.32,6.57,5,"ASSEZ SURE"
